Illness Name,Fever,Chills,Cough,Sore Throat,Runny Nose,Headache,Muscle Pain,Joint Pain,Fatigue,Skin Rash,Abdominal Pain,Nausea,Vomiting,Diarrhea,Jaundice,Chest Pain,Difficulty Breathing,Red Eyes,Sweating,Weight Loss,Night Sweats
Allergic Rhinitis,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Anxiety Disorder,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1
Anxiety Disorder,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1
Anxiety Disorder,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1
Asthma,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Asthma,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Back Pain,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Back Pain,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
Back Pain,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1
Bipolar Disorder,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1
Bipolar Disorder,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1
Bipolar Disorder,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1
Bronchitis,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bronchitis,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Chickenpox,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Chikungunya,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Chikungunya,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
Chikungunya,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0
Dengue Fever,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Dengue Fever,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
Dengue Fever,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Depression,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1
Depression,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1
Depression,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1
Eye Strain,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
Eye Strain,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
Eye Strain,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
GERD (Acid Reflux),1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gastroenteritis,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gastroenteritis,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Influenza,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Insomnia,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1
Insomnia,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1
Insomnia,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1
Leptospirosis,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0
Leptospirosis,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
Leptospirosis,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0
Malaria,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0
Malaria,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
Malaria,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Migraine,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
Migraine,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Migraine,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
Pneumonia,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pneumonia,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0
Pneumonia,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Pneumonia,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
Pneumonia,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
Post-Traumatic Stress Disorder (PTSD),0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1
Post-Traumatic Stress Disorder (PTSD),0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1
Post-Traumatic Stress Disorder (PTSD),0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1
Schizophrenia,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1
Schizophrenia,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1
Schizophrenia,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1
Sinusitis,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sinusitis,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Stress,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1
